Lmod Warning: Input module (gcc) not found, using module: GCC . . . (ICER v.) 


Running code with OMP_NUM_THREADS= 1
  N=  , time (s)
   20, 0.000161
   20, 0.000151
   20, 0.000135
   20, 0.000145
   20, 0.00014
   20, 0.000132
   20, 0.000149
   20, 0.000151
   20, 0.000149
   20, 0.000131
   20, 0.000164
   20, 0.000131
   20, 0.000356
   20, 0.000145
   20, 0.000145
   20, 0.000179
   20, 0.000149
   20, 0.000177
   20, 0.000164
   20, 0.00016
   20, 0.00014
   20, 0.000131
   20, 0.00015
   20, 0.000155
   20, 0.000149
   20, 0.000187
   20, 0.000147
   20, 0.000146
   20, 0.000154
   20, 0.000131
   20, 0.000135
   20, 0.000157
   20, 0.000149
   20, 0.000132
   20, 0.00014
   20, 0.000145
   20, 0.000148
   20, 0.00014
   20, 0.000148
   20, 0.000158
   20, 0.00014
   20, 0.000141
   20, 0.000139
   20, 0.000157
   20, 0.000148
   20, 0.000136
   20, 0.000298
   20, 0.000155
   20, 0.000343
   20, 0.00016
   20, 0.000148
   20, 0.000157
   20, 0.000147
   20, 0.000146
   20, 0.000168
   20, 0.000146
   20, 0.000156
   20, 0.000139
   20, 0.000148
   20, 0.000141
   20, 0.000149
   20, 0.000131
   20, 0.00014
   20, 0.000132
   20, 0.000149
   20, 0.000144
   20, 0.000149
   20, 0.000144
   20, 0.000149
   20, 0.000132
   20, 0.00015
   20, 0.000143
   20, 0.000147
   20, 0.000132
   20, 0.000135
   20, 0.000131
   20, 0.000153
   20, 0.000143
   20, 0.00016
   20, 0.000153
   20, 0.000147
   20, 0.000145
   20, 0.000135
   20, 0.000132
   20, 0.000149
   20, 0.000132
   20, 0.000149
   20, 0.000131
   20, 0.000135
   20, 0.000337
   20, 0.000163
   20, 0.000144
   20, 0.000149
   20, 0.000132
   20, 0.000146
   20, 0.000132
   20, 0.000147
   20, 0.000146
   20, 0.000313
   20, 0.000145
Running code with OMP_NUM_THREADS= 2
  N=  , time (s)
   20, 0.000178
   20, 0.00016
   20, 0.000119
   20, 0.00012
   20, 9.8e-05
   20, 0.000139
   20, 9e-05
   20, 0.000118
   20, 0.00012
   20, 0.000124
   20, 0.000118
   20, 0.000131
   20, 0.000122
   20, 0.000135
   20, 0.000126
   20, 0.000119
   20, 0.000122
   20, 0.000142
   20, 0.00013
   20, 9.6e-05
   20, 0.00011
   20, 0.00012
   20, 0.000125
   20, 0.000121
   20, 0.000125
   20, 0.00011
   20, 0.000124
   20, 0.000108
   20, 0.000125
   20, 0.000122
   20, 0.000106
   20, 0.000115
   20, 0.000121
   20, 0.000125
   20, 0.000125
   20, 0.000123
   20, 0.00012
   20, 0.00012
   20, 0.000124
   20, 0.000118
   20, 9.8e-05
   20, 0.000137
   20, 0.000126
   20, 0.000128
   20, 0.000122
   20, 8e-05
   20, 8.3e-05
   20, 0.000121
   20, 0.000126
   20, 0.000121
   20, 0.00012
   20, 0.000135
   20, 0.000118
   20, 0.000119
   20, 0.000124
   20, 0.000112
   20, 0.000122
   20, 0.000119
   20, 0.000124
   20, 0.000122
   20, 0.000119
   20, 0.000113
   20, 0.000122
   20, 0.000122
   20, 0.000121
   20, 0.000121
   20, 0.00012
